TRUES,PREDS,MAE,MSE,RMSE,MAPE,MSPE,R2
0.02888883,0.032115392,,,,,,
0.030277774,0.028682344,,,,,,
0.026893873,0.030089095,,,,,,
0.03555643,0.026395738,,,,,,
0.15221529,0.03547806,,,,,,
0.061390046,0.117152065,,,,,,
0.060031015,0.05512376,,,,,,
0.06278398,0.057306338,,,,,,
0.054666884,0.056967266,,,,,,
0.06072812,0.05423974,,,,,,
0.05821692,0.058801286,,,,,,
0.062355552,0.056142293,,,,,,
0.05750281,0.06527292,,,,,,
0.062454917,0.05734255,,,,,,
0.12181212,0.062548146,,,,,,
0.05368726,0.10376903,,,,,,
0.034455642,0.061617427,,,,,,
0.0458595,0.045894716,,,,,,
0.121273495,0.049711805,,,,,,
0.051380202,0.106758855,,,,,,
0.048873164,0.059860222,,,,,,
0.0491649,0.058489628,,,,,,
0.04311584,0.045829173,,,,,,
0.04594853,0.047756895,,,,,,
0.04264865,0.045421246,,,,,,
0.04364099,0.042210605,,,,,,
0.06779412,0.046976175,,,,,,
0.06423864,0.061296392,,,,,,
0.05268613,0.05736948,,,,,,
0.07667922,0.04976455,,,,,,
0.07659045,0.068421625,,,,,,
0.07499873,0.067880064,,,,,,
0.0714501,0.06812853,,,,,,
0.07217302,0.06651044,,,,,,
0.054407127,0.07158421,,,,,,
0.04339691,0.056804586,,,,,,
0.026543071,0.04552785,,,,,,
0.029049387,0.029898504,,,,,,
0.057428576,0.03236826,,,,,,
0.061979752,0.053030044,,,,,,
0.059456784,0.055497702,,,,,,
0.032594178,0.051059105,,,,,,
0.028379515,0.033864934,,,,,,
0.030386947,0.030188894,,,,,,
0.028611785,0.029208843,,,,,,
0.028935362,0.029601406,,,,,,
0.025830634,0.030640021,,,,,,
0.041072242,0.028220247,,,,,,
0.056756955,0.038339365,,,,,,
0.03270748,0.046441976,,,,,,
0.033044107,0.032507837,,,,,,
0.06337018,0.033850607,,,,,,
0.20930712,0.05801099,,,,,,
0.21878654,0.1574714,,,,,,
0.16707638,0.14138485,,,,,,
0.1638751,0.10889693,,,,,,
0.12155003,0.1257848,,,,,,
0.07601772,0.10443635,,,,,,
0.083856925,0.077984884,,,,,,
0.07394303,0.08454159,,,,,,
0.07854059,0.08463806,,,,,,
0.054825943,0.086293355,,,,,,
0.07332212,0.06381653,,,,,,
0.1822144,0.07691128,,,,,,
0.09413817,0.15670307,,,,,,
0.104274414,0.092939235,,,,,,
0.08722491,0.0968873,,,,,,
0.08672531,0.08322263,,,,,,
0.06811483,0.087604314,,,,,,
0.06459036,0.06612594,,,,,,
0.068166554,0.06953268,,,,,,
0.06643343,0.0709549,,,,,,
0.04078352,0.068617016,,,,,,
0.046159994,0.049078345,,,,,,
0.049917534,0.049698748,,,,,,
0.045777984,0.050250962,,,,,,
0.05333412,0.048852567,,,,,,
0.061119545,0.051044345,,,,,,
0.05662782,0.05684322,,,,,,
0.053845532,0.053712156,,,,,,
0.0766539,0.050390355,,,,,,
0.07653022,0.07297733,,,,,,
0.06294776,0.06861127,,,,,,
0.06738429,0.058867358,,,,,,
0.055414904,0.06614037,,,,,,
0.06250787,0.056158457,,,,,,
0.0661937,0.061401695,,,,,,
0.06328171,0.06460839,,,,,,
0.06503224,0.06450252,,,,,,
0.06265495,0.06294627,,,,,,
0.06275622,0.062567756,,,,,,
0.10239586,0.06292968,,,,,,
0.055701498,0.09601966,,,,,,
0.048776302,0.061210185,,,,,,
0.053475942,0.05638063,,,,,,
0.04773863,0.05707924,,,,,,
0.055670753,0.05214261,,,,,,
0.07476433,0.054972414,,,,,,
0.077804245,0.067644425,,,,,,
0.06813307,0.06871117,,,,,,
0.07948137,0.057468787,,,,,,
0.08357851,0.07201309,,,,,,
0.08538143,0.07565064,,,,,,
0.1441749,0.07907262,,,,,,
0.14996377,0.12813595,,,,,,
0.0981217,0.12249359,,,,,,
0.059645277,0.08641492,,,,,,
0.056010947,0.06354541,,,,,,
0.04675984,0.06259056,,,,,,
0.04952754,0.048736654,,,,,,
0.056245495,0.05379875,,,,,,
0.04321026,0.05654655,,,,,,
0.042225886,0.04854424,,,,,,
0.046403967,0.04510416,,,,,,
0.046584822,0.046567753,,,,,,
0.042462703,0.047973853,,,,,,
0.04192056,0.04314783,,,,,,
0.04512394,0.042584427,,,,,,
0.047184136,0.045278113,,,,,,
0.046412855,0.046144083,,,,,,
0.04605433,0.044638507,,,,,,
0.0484844,0.044109233,,,,,,
0.04750275,0.04711108,,,,,,
0.03925613,0.046002947,,,,,,
0.039554555,0.039508626,,,,,,
0.039253514,0.04106509,,,,,,
0.03889832,0.03940254,,,,,,
0.038619183,0.039637014,,,,,,
0.038767684,0.038746286,,,,,,
0.044970483,0.03891503,,,,,,
0.044353165,0.04288726,,,,,,
0.039226823,0.041877154,,,,,,
0.038800612,0.03785256,,,,,,
0.038462963,0.038764488,,,,,,
0.038505428,0.037900433,,,,,,
0.03902403,0.03820721,,,,,,
0.038776584,0.038898475,,,,,,
0.03912092,0.03867702,,,,,,
0.047797117,0.038548265,,,,,,
0.045228887,0.046268243,,,,,,
0.04421736,0.042197887,,,,,,
0.04410703,0.0407585,,,,,,
0.043693315,0.041726626,,,,,,
0.044089187,0.042291477,,,,,,
0.037481774,0.043197233,,,,,,
0.039296933,0.03740011,,,,,,
0.04856608,0.04005675,,,,,,
0.042254068,0.04983298,,,,,,
0.040570475,0.042778082,,,,,,
0.03420253,0.040349595,,,,,,
0.026117468,0.033999044,,,,,,
0.07811038,0.027540548,,,,,,
0.2059296,0.08221758,,,,,,
0.16912419,0.17449246,,,,,,
0.022692405,0.10858099,,,,,,
0.023369836,0.01311334,,,,,,
0.022224287,0.042998575,,,,,,
0.027805567,0.019349089,,,,,,
0.028000195,0.02104713,,,,,,
0.029478742,0.024345307,,,,,,
0.02716905,0.029591255,,,,,,
0.027416019,0.024882669,,,,,,
0.023080138,0.02635408,,,,,,
0.057694275,0.022744374,,,,,,
0.19862197,0.058447078,,,,,,
0.20242602,0.16931236,,,,,,
0.19821715,0.1313364,,,,,,
0.019570483,0.108419515,,,,,,
0.013779756,0.065760456,,,,,,
0.01965412,0.023101399,,,,,,
0.014060805,0.014855767,,,,,,
0.014392374,0.01810675,,,,,,
0.011724429,0.015505111,,,,,,
0.013887331,0.014172217,,,,,,
0.0119713135,0.011962488,,,,,,
0.015432488,0.0119267795,,,,,,
0.011888072,0.0154896155,,,,,,
0.012934154,0.011853257,,,,,,
0.014128385,0.013600148,,,,,,
0.017592035,0.013727387,,,,,,
0.016838986,0.017542748,,,,,,
0.017273396,0.01446096,,,,,,
0.016748397,0.015258636,,,,,,
0.017107647,0.014975147,,,,,,
0.014204603,0.016104715,,,,,,
0.011922017,0.013908263,,,,,,
0.011579888,0.012292933,,,,,,
0.011796065,0.011723077,,,,,,
0.011385644,0.012067806,,,,,,
0.011522438,0.011672538,,,,,,
0.01136844,0.011603007,,,,,,
0.011494508,0.0113824885,,,,,,
0.012261268,0.011485666,,,,,,
0.01612147,0.011998966,,,,,,
0.01439715,0.0151646845,,,,,,
0.011244182,0.012974434,,,,,,
0.011080528,0.011078026,,,,,,
0.011211302,0.011508521,,,,,,
0.0110599045,0.011176487,,,,,,
0.011139676,0.011028837,,,,,,
0.011017075,0.011149639,,,,,,
0.012412908,0.011109853,,,,,,
0.015835103,0.0119728185,,,,,,
